game;id;userscore;userscore_count;release_date
[NINJA GAIDEN: Master Collection] NINJA GAIDEN 3: Razor's Edge;1369760;68;1304;2021.06.09
[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ;1580780;82;2058;2021.06.09
[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ2;1580790;78;1390;2021.06.09
A Guidebook of Babel;1467920;93;783;2023.08.02
A Plague Tale: Requiem;1182900;90;16466;2022.10.17
Aces & Adventures;1815570;90;2038;2023.02.23
Against the Storm;1336490;95;29207;2023.12.08
Age of Empires II: Definitive Edition;813780;94;144455;2019.11.14
Age of Empires III: Definitive Edition;933110;84;49395;2020.10.15
Age of Empires: Definitive Edition;1017900;84;13125;2019.08.19
Age of Empires® III (2007);105450;90;32096;2009.09.15
Age of Mythology: Extended Edition;266840;93;31101;2014.05.08
Alan Wake;108710;90;37471;2012.02.16
Alan Wake's American Nightmare;202750;73;6905;2012.05.22
Amanda the Adventurer;2166060;94;5476;2023.04.25
AMID EVIL;673130;93;6301;2019.06.20
Autonauts vs Piratebots;1907720;80;320;2022.07.28
BASEBALL STARS 2;366230;77;63;2016.04.27
Batman: Arkham Asylum Game of the Year Edition;35140;96;53611;2010.03.26
Batman: Arkham City - Game of the Year Edition;200260;95;50012;2012.09.07
Batman™: Arkham Knight;208650;92;98269;2015.06.23
Batman™: Arkham Origins;209000;89;40293;2013.10.24
Batman™: Arkham Origins Blackgate - Deluxe Edition;267490;44;1516;2014.04.01
Beat Hazard 2;618740;89;1385;2019.10.16
Beneath Oresa;1803400;78;1002;2023.09.27
BioShock Infinite;8870;93;106503;2013.03.25
BioShock® 2;8850;88;11065;2010.02.09
BioShock™;7670;93;24300;2007.08.21
BioShock™ 2 Remastered;409720;70;21833;2016.09.15
BioShock™ Remastered;409710;82;47820;2016.09.15
Black Mesa;362890;95;123281;2020.03.06
Blades of Time;208670;81;890;2012.04.20
Blasphemous 2;2114740;91;11563;2023.08.24
BloodRayne 2: Terminal Cut;1373550;78;835;2020.11.20
BloodRayne Betrayal (Legacy);281220;59;629;2014.04.30
BloodRayne Betrayal: Fresh Bites;1550260;66;99;2021.09.08
BloodRayne: Terminal Cut;1373510;90;1255;2020.11.20
Borderlands 2;49520;89;207490;2012.09.17
Borderlands 3;397540;81;123067;2020.03.13
Borderlands Game of the Year;8980;89;19814;2023.08.31
Borderlands Game of the Year Enhanced;729040;80;16742;2023.08.31
Borderlands: The Pre-Sequel;261640;78;31019;2014.10.14
Borderless Gaming;388080;83;3749;2015.07.23
Bouncer Story;1395900;54;11;2020.11.03
Boxes: Lost Fragments;2019810;91;2534;2024.02.01
Bravery and Greed;943370;77;538;2022.11.15
Bridge Constructor Portal;684410;91;6027;2017.12.20
Bright Memory;955050;90;29934;2020.03.25
Bright Memory: Infinite;1178830;91;35451;2021.11.11
Bulletstorm: Full Clip Edition;501590;88;7051;2017.04.07
Caesar™ 3;517790;92;1914;1999.05.30
Capcom Arcade 2nd Stadium;1755910;68;1027;2022.07.21
Capcom Arcade Stadium;1515950;54;4478;2021.05.24
Capcom Beat 'Em Up Bundle;885150;86;1033;2018.10.10
Capcom Fighting Collection;1685750;90;719;2022.06.23
Capcom Fighting Collection 2;2400430;83;519;2025.05.15
Cat Quest;593280;95;7714;2017.08.08
Cat Quest II;914710;95;5309;2019.09.24
Cat Quest III;2305840;94;2507;2024.08.08
Cliff Empire;809140;87;4103;2019.08.06
Cloudpunk;746850;88;13041;2020.04.23
Command & Conquer 3 Tiberium Wars™;24790;89;8090;2007.03.28
Command & Conquer Red Alert™ 2 and Yuri’s Revenge™;2229850;93;8443;2024.03.07
"Command & Conquer Red Alert™; Counterstrike™ and The Aftermath™";2229840;80;284;2024.03.07
Command & Conquer Renegade™;2229890;84;677;2024.03.07
Command & Conquer: Red Alert 3 - Uprising;24800;85;4189;2009.03.12
Command & Conquer™ 3: Kane’s Wrath;24810;93;4874;2009.11.13
Command & Conquer™ 4 Tiberian Twilight;47700;15;4426;2010.03.16
Command & Conquer™ and The Covert Operations™;2229830;75;324;2024.03.07
Command & Conquer™ Generals;2229870;87;1549;2024.03.07
Command & Conquer™ Generals Zero Hour;2732960;90;4355;2024.03.07
Command & Conquer™ Red Alert™ 3;17480;85;13835;2008.10.28
Command & Conquer™ Remastered Collection;1213210;90;29877;2020.06.05
Command & Conquer™ Tiberian Sun™ and Firestorm™;2229880;89;989;2024.03.07
Control Ultimate Edition;870780;87;40013;2020.08.27
Counter-Strike;10;96;161520;2000.11.01
Counter-Strike 2;730;86;8961087;2012.08.21
Counter-Strike: Condition Zero;80;90;20044;2004.03.01
Counter-Strike: Condition Zero;100;90;20044;2004.03.01
Counter-Strike: Source;240;96;127948;2004.11.01
Crazy Machines 3;351920;94;7362;2016.10.18
Crypt of the NecroDancer;247080;95;22833;2015.04.23
Cyberpunk 2077;1091500;85;773649;2020.12.09
Day of Defeat;30;88;4304;2003.05.01
Day of Defeat: Source;300;90;15407;2005.09.26
DEAD OR ALIVE 5 Last Round: Core Fighters;311730;68;10073;2015.03.30
DEAD OR ALIVE 6;838380;74;4338;2019.02.28
DEAD OR ALIVE Xtreme Venus Vacation;958260;;;
Deathmatch Classic;40;82;2334;2001.06.01
Deceive Inc.;820520;84;4608;2023.03.21
Desktop Mate;3301060;63;7106;2025.01.07
Devil May Cry 4 Special Edition;329050;88;14365;2015.06.23
Devil May Cry 5;601150;96;104098;2019.03.07
Devil May Cry HD Collection;631510;93;13525;2018.03.13
DmC: Devil May Cry;220440;93;19009;2013.01.24
Dordogne;1272840;93;694;2023.06.13
DSX;1812620;68;5571;2022.06.24
DX-Ball 2: 20th Anniversary Edition;922400;96;454;2018.11.21
Empyrion - Galactic Survival;383120;79;28483;2020.08.05
ENSLAVED™: Odyssey to the West™ Premium Edition;245280;86;5443;2013.10.24
Fabledom;1651560;86;5831;2024.05.13
Figment;493540;88;1247;2017.09.22
Figment 2: Creed Valley;1085220;94;787;2023.03.09
FINAL FANTASY XVI DEMO;2738000;54;1735;2024.08.19
Foretales;1170080;86;676;2022.09.15
Fort Solis;1931730;70;1902;2023.08.22
Furnish Master;2004080;81;817;2024.02.19
GAROU: MARK OF THE WOLVES;366240;94;854;2016.12.06
Geometry Wars: Retro Evolved;8400;90;958;2007.03.07
Geometry Wars™ 3: Dimensions Evolved;310790;90;1230;2014.11.25
Ghostrunner 2;2144740;81;6901;2023.10.26
Giana Sisters 2D;350770;64;226;2015.10.23
Giana Sisters: Twisted Dreams;223220;81;987;2012.10.22
